Question,Answer
How do I apply for a Standard Chartered Home Loan?,"You can get in touch with us by calling in at our phone banking numbers, or write to us at Customer.Care@in.standardchartered.com, or visit our Branches, or simplyclick here"
What are the documents that I need to submit when I apply for the loan?,"The primary documents that have to submitted are: Application form with self attested photographIdentity, Age & Residence ProofBank StatementIncome DocumentsProcessing Fee ChequeProperty PapersThere may be additional documents that are needed, details of which would be given to you at the time of application."
What are the maximum and minimum loan amounts that can be availed?,Minimum Loan Amount â INR 5 lakhs (For High Equity Program â HL / LAP: INR 15 lakhs)Maximum Loan AmountSalaried / Self Employed â Income Program:1. INR 15 crores for Mumbai and Delhi.2. INR 7.5 crores for other cities.3. INR 35 crores under high ticket program.
Who all can be co-applicants on the home loan?,"You can include your immediate relatives (spouse, parents, or children) as co-applicants on the loan. Siblings can be co-applicants if they are co-owners to the property. You also have the option of including proprietor concerns, partnership firms, private limited companies, and closely held limited companies as co-applicants."
What is the amount of processing fees that I have to pay?,Processing fee would vary from 0.5 % - 1.50% of the sanctioned loan amount depending upon the scheme you opt for.
Will SCB refund my processing fee?,"If we are unable to sanction the loan to you, the processing fees minus Rs. 2000 will be refunded to you. In case your loan has been sanctioned, the processing fees will not be refunded."
How long does it take to get a sanction for the loan?,"After you have given us all the relevant documents, you can get a sanction for the loan within 5 working days, under normal circumstances."
What are my options for repayment?,You can choose among the following options to give repayment instructions:Electronic Clearing System (ECS)Standing Instructions on your Standard Chartered accountE-Nach
"If the property is under construction, and I have not taken full disbursal, what options do I have regarding payment of EMI?",You have the option of paying either pre EMI (interest on the amount of loan disbursed thus far) or full EMI during this period.
How is the interest on my loan calculated?,The interest is calculated on a daily reducing balance and is charged with monthly rests.
Can I convert from a fixed rate of interest to a variable rate or vice versa?,"At the discretion of SCB, you have the option of changing your interest type from Fixed to Variable or vice-versa provided you pay 1.5% of the principal outstanding at the time of exercising the option."
"Having taken a home loan, can I take a top-up loan without offering any additional security?","Yes. Once you have completed six months of repayment on your home loan, we offer you the option of applying for a top up loan, over and above your existing home loan."
Apart from shares which are other investments against which Loan Against Securities can be availed?,Apart from approved list of Demat shares Loan Against Securities can also be availed against approved list of Mutual Funds and Bonds.
Whose securities can be pledged to avail Loan Against Securities?,One can pledge own securities.
What will be the drawing power / operating limit one can avail against pledged securities?,Drawing Power / operating limit can be as high as 50% of the securities pledged (in case of Shares / Equity Mutual Funds). The drawing limit against security of debt mutual funds is higher. Drawing limit can change depending upon the type & proportion in which the securities are pledged as well as the value of securities.
What is the maximum amount of Loan limits one can avail?,An individual can avail a maximum limit of Rs.20 Lacs against the security of Shares / Equity Mutual Funds which are in demat form. The limits are higher for other securities
For what all purposes can the borrowings be used?,"Loan Against Securities can be availed for Child Education, Purchase of Property, personal use and Balance Transfer for existing Loans subject to end use adherence. This has to be declared at the time of origination."
What are the minimum and maximum loan amounts?,"You can avail of loans ranging from Rs 1,00,000 to 30,00,000 depending on your eligibility, income and repayment capacity."
What are the loan tenure options?,The loan can be repaid over a period of 12 to 60 months
Are there any additional charges?,A processing fee of a maximum of 3% of the loan amounts and requisite documentation charges is payable upfront. This fee will be deducted from the Loan amount at the time of disbursal.
How much time will it take for my loan to be approved?,Your loan will be disbursed within 4-7 working days post receipt of the required documents.
"Do I have to provide any security, collateral or guarantors?","No security, collateral or guarantors are required for obtaining apersonal loan."
What is EMI?,EMI stands for Equated Monthly Installments. This installment comprises both principal and interest components. Please use the EMI Calculator to find out the EMI you need to repay.
How do I repay the loan?,"You can repay the loan in Equated Monthly Installments (EMI's) using the NACH facility, or a direct account debit (only for Standard Chartered Bank Account holders)."
Can I prepay my loan?,You can pre-pay your loan with preclosure charges of 5% anytime after completion of 12 EMIs by giving the bank a 21 day notice.
Do I need to open an account with Standard Chartered Bank for availing and/or servicing the loan?,"We will encourage you to start a banking relationship with us so that we will be able to offer a host of other value added services, which are complementary to the loan, however opening an account with us is not mandatory."
